"BehaviorSpace results (NetLogo 7.0.2)	Spreadsheet version 2.0											",,,,,,,,,,,,
"Virus on a Network.nlogox												",,,,,,,,,,,,
"number-test												",,,,,,,,,,,,
"12/03/2025 14:09:27:421 +0800												",,,,,,,,,,,,
"min-pxcor	max-pxcor	min-pycor	max-pycor									",,,,,,,,,,,,
"-20	20	-20	20									",,,,,,,,,,,,
"[run number]	1	1	1	1	2	2	2	2	3	3	3	3",,,,,,,,,,,,
"initial-outbreak-size	3				3				3			",,,,,,,,,,,,
"number-of-nodes	100				150				200			",,,,,,,,,,,,
"average-node-degree	6				6				6			",,,,,,,,,,,,
"virus-spread-chance	2.5				2.5				2.5			",,,,,,,,,,,,
"virus-check-frequency	1				1				1			",,,,,,,,,,,,
"recovery-chance	5				5				5			",,,,,,,,,,,,
"gain-resistance-chance	5				5				5			",,,,,,,,,,,,
"[reporter]	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks",,,,,,,,,,,,
"[final]	950	0	48	950	1030	0	64	1030	756	0	91	756",,,,,,,,,,,,
"[min]	0	0	0	0	0	0	0	0	0	0	0	0",,,,,,,,,,,,
"[max]	950	58	48	950	1030	59	64	1030	756	76	91	756",,,,,,,,,,,,
"[mean]	475	20.184016824395375	27.900105152471085	475	515	21.77109602327837	34.267701260911736	515	378	37.63672391017173	45.58652575957728	378",,,,,,,,,,,,
"[total steps]	950	950	950	950	1030	1030	1030	1030	756	756	756	756",,,,,,,,,,,,
"												",,,,,,,,,,,,
"BehaviorSpace results (NetLogo 7.0.2)	Spreadsheet version 2.0											",,,,,,,,,,,,
"Virus on a Network.nlogox												",,,,,,,,,,,,
"initial-test												",,,,,,,,,,,,
"12/03/2025 14:12:12:547 +0800												",,,,,,,,,,,,
"min-pxcor	max-pxcor	min-pycor	max-pycor									",,,,,,,,,,,,
"-20	20	-20	20									",,,,,,,,,,,,
"[run number]	1	1	1	1	2	2	2	2	3	3	3	3",,,,,,,,,,,,
"initial-outbreak-size	1				3				10			",,,,,,,,,,,,
"number-of-nodes	150				150				150			",,,,,,,,,,,,
"average-node-degree	6				6				6			",,,,,,,,,,,,
"virus-spread-chance	2.5				2.5				2.5			",,,,,,,,,,,,
"virus-check-frequency	1				1				1			",,,,,,,,,,,,
"recovery-chance	5				5				5			",,,,,,,,,,,,
"gain-resistance-chance	5				5				5			",,,,,,,,,,,,
"[reporter]	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks",,,,,,,,,,,,
"[final]	805	0	58	805	864	0	48	864	967	0	72	967",,,,,,,,,,,,
"[min]	0	0	0	0	0	0	0	0	0	0	0	0",,,,,,,,,,,,
"[max]	805	61	58	805	864	44	48	864	967	56	72	967",,,,,,,,,,,,
"[mean]	402.5	27.710918114143922	35.940446650124066	402.5	432	18.502890173410403	30.477456647398842	432	483.5	24.706611570247933	42.771694214876035	483.5",,,,,,,,,,,,
"[total steps]	805	805	805	805	864	864	864	864	967	967	967	967",,,,,,,,,,,,
"												",,,,,,,,,,,,
"BehaviorSpace results (NetLogo 7.0.2)	Spreadsheet version 2.0											",,,,,,,,,,,,
"Virus on a Network.nlogox												",,,,,,,,,,,,
"average												",,,,,,,,,,,,
"12/03/2025 14:17:18:841 +0800												",,,,,,,,,,,,
"min-pxcor	max-pxcor	min-pycor	max-pycor									",,,,,,,,,,,,
"-20	20	-20	20									",,,,,,,,,,,,
